error_x0_a,error_x0_b,error_x0_c,error_polytope,net_prob_x0,net_class_x0,net_approx_prob_x0,net_approx_class_x0,net_prob_x_opt,net_class_x_opt,net_logits_x_opt,net_approx_prob_x_opt,net_approx_class_x_opt,net_approx_logits_x_opt
0.00025223,0.00025223,0.00025223,5.81500869,0.99998105,1,0.99998062,1,0.99976386,1,"[2.844176936748529e-10, 0.9997638604791462, 1.8757606092759355e-05, 8.013496740172881e-08, 3.570358087896015e-06, 6.899915868644199e-06, 5.733566981646302e-05, 6.765700038002588e-05, 8.181510017953412e-05, 2.3451043501314395e-08]",0.99992784,1,"[2.5466552033847763e-13, 0.9999278410072027, 1.2440256452018671e-07, 3.2434530552713922e-12, 5.6074813982618066e-11, 1.259422645497423e-09, 8.136420964553259e-08, 7.19519007461545e-05, 6.277389475619058e-12, 3.9434661987998705e-15]"
0.00008660,0.00008660,0.00008660,5.77828167,0.99999542,1,0.99999996,1,0.82199093,1,"[3.817749641115521e-06, 0.8219909333335239, 3.1507600876108786e-05, 0.062167372824937735, 0.0002300224292033292, 4.56244323902462e-06, 3.998349349250618e-06, 0.005718988299425256, 0.016822101398965405, 0.09302669557083885]",0.99999562,1,"[2.7252909169286577e-13, 0.99999561601141, 1.1227921741783053e-08, 2.4780566754433053e-07, 2.563274963187198e-09, 1.6602094869333743e-10, 6.415157407065068e-10, 4.12109056883812e-06, 4.0875049775167684e-10, 8.459713562447533e-11]"
0.00006875,0.00006875,0.00006875,5.85921833,0.99999522,1,0.99999446,1,0.97172301,1,"[3.4701517700137004e-14, 0.9717230128111571, 1.4248713953109263e-10, 2.383267497104222e-06, 0.0006252299314640533, 3.9243786566833696e-08, 1.0541251287455102e-07, 2.7685620848603096e-07, 0.027619125115148697, 2.982721970348484e-05]",0.99999733,1,"[1.816753660610421e-17, 0.9999973345339623, 1.9574030450964795e-16, 8.490321770230556e-12, 2.6648273366475054e-06, 3.7907644096111784e-15, 7.332479362232848e-13, 9.793103237949423e-12, 1.313798570228218e-11, 6.06542593252525e-10]"
0.00013468,0.00013468,0.00013468,6.16024136,0.99999268,1,0.99999978,1,0.99863578,1,"[1.7792655595872394e-08, 0.9986357758264174, 2.6545080073281283e-08, 0.0006634289837483911, 8.67461965207814e-06, 0.00034719989738396425, 6.291221549498438e-06, 2.2801421127386433e-05, 0.00019204182457627223, 0.000123741867809199]",0.99999998,1,"[4.467406066908362e-14, 0.9999999773432281, 5.762579466608453e-13, 6.239169085302442e-09, 4.805090719409154e-09, 1.1528725247441952e-12, 1.4067402444725145e-13, 1.0608787914650667e-08, 1.8868605389763197e-12, 9.999227782670355e-10]"
0.00002341,0.00002341,0.00002341,6.21259278,0.99999849,1,0.99999795,1,0.95811114,1,"[5.3457357366841954e-08, 0.9581111419615873, 0.0024186745941277934, 1.059760013523327e-05, 6.658811572226868e-05, 7.468384978401935e-05, 0.0017418695887536611, 0.0006262660629757305, 0.036943124971164934, 6.999798391751483e-06]",0.99998805,1,"[7.745503490603375e-12, 0.9999880494586058, 5.407683137301923e-06, 3.9775210196907387e-10, 3.428511035175929e-11, 9.794460225680703e-11, 9.019238782195887e-09, 6.5323714925203195e-06, 9.280403624107638e-10, 1.7579230699956504e-12]"
0.00033764,0.00033764,0.00033764,5.89247024,0.99997636,1,0.99998692,1,0.99931638,1,"[5.656676639855755e-10, 0.9993163823816414, 4.307359772848392e-06, 9.366602192231104e-08, 3.856341183717703e-06, 6.536544896657526e-06, 1.964004542532249e-05, 1.687149339296309e-05, 0.0006320113820689228, 3.0021992828256704e-07]",0.99999791,1,"[4.556706981541533e-13, 0.9999979135783104, 1.7521976418629423e-09, 4.5448510084566875e-14, 9.945560368779904e-11, 4.438555838513651e-12, 2.339771488280468e-09, 2.082224337540286e-06, 9.397654004336968e-13, 4.772885633134345e-14]"
0.00002500,0.00002500,0.00002500,5.95070611,0.99999863,1,0.99999997,1,0.32463334,8,"[0.00026490512909824453, 0.12814904843896438, 0.009274985478614176, 0.24026906240852772, 7.610513487787538e-05, 0.2044644926105156, 0.004207256662628644, 0.0806671790663535, 0.32463333724311916, 0.007993627827300726]",0.99993076,1,"[1.8901370149076686e-13, 0.9999307579810852, 5.502955052906992e-06, 2.9917635168277327e-05, 4.131301856781926e-14, 1.466383244584965e-07, 2.140433142692962e-10, 3.36607838796716e-05, 1.3788759587580189e-08, 3.4562185726975444e-12]"
0.00003875,0.00003875,0.00003875,5.87860783,0.99999771,1,0.99999993,1,0.72953307,1,"[5.042520372678691e-09, 0.7295330681225182, 2.807266993155332e-05, 0.27038362036453845, 5.063779130207493e-06, 4.876564873331204e-07, 6.372057044063265e-08, 9.982415319915578e-06, 1.9155681138621182e-05, 2.04805478450161e-05]",0.99995754,1,"[1.153809978843366e-16, 0.9999575375451483, 1.3214658551452798e-08, 4.244878044645406e-05, 1.010759830837346e-12, 8.111554225374961e-11, 3.032138724632821e-12, 2.685303437175796e-10, 1.0514169502082081e-10, 9.160474230623072e-13]"
0.01584807,0.01584807,0.01584807,6.21348358,0.99801565,1,0.99608671,1,0.60162766,2,"[0.00013669621773448523, 0.28337898631835545, 0.6016276588230155, 0.00030940670216554253, 0.0003615793597876945, 1.92369082529525e-09, 6.144575065591332e-07, 0.0003023610421712026, 0.11388250889235538, 1.8626321729195036e-07]",0.99998263,1,"[2.431479285099827e-06, 0.9999826319360647, 4.5567045864919556e-07, 4.120242788355245e-11, 4.833408904655163e-07, 1.8908062284924284e-16, 3.7500960510201983e-10, 1.399686622860177e-05, 2.888428137474789e-10, 2.0174890461386163e-12]"
0.00009304,0.00009304,0.00009304,6.01040404,0.99999371,1,0.99999918,1,0.98746256,1,"[1.4623281089788313e-08, 0.987462562430099, 3.1846594810018546e-06, 0.00019932108347870946, 8.786679331710123e-06, 0.0002479604325939631, 8.289523669807062e-07, 0.000754481411760951, 0.01059152739218678, 0.0007313323354197562]",0.99999866,1,"[1.5911142721331466e-14, 0.9999986645707363, 2.1533604686284552e-10, 3.908738999252546e-09, 1.6913033323202554e-11, 1.832758857049968e-08, 6.363775585806806e-11, 1.3083032783490253e-06, 4.54168153779433e-09, 5.207352301055621e-11]"
0.00009710,0.00009710,0.00009710,0.00009710,0.99999504,1,0.99999983,1,0.99999504,1,"[5.622180362462263e-15, 0.9999950429400712, 5.176446687356989e-09, 3.68977110709416e-06, 1.1012400414930322e-07, 7.176618457786709e-10, 2.2115595307331642e-08, 9.766733384070333e-09, 1.1118676306735113e-06, 7.52074414747471e-09]",0.99999983,1,"[1.5761176351504095e-17, 0.9999998318610205, 3.951565389777066e-10, 4.105550132016135e-09, 1.6223158425418693e-07, 3.621887870776978e-13, 2.3415032716682625e-10, 1.2509468318242417e-11, 1.124982588261148e-09, 3.468408195247885e-11]"
0.00008355,0.00008355,0.00008355,6.16121029,0.99999621,1,0.99999995,1,0.96703422,1,"[1.2977720927905238e-10, 0.967034218571869, 0.00020070981855454078, 0.000728566739612459, 2.6909060224235683e-08, 2.9330606616041733e-05, 2.9219203749116716e-05, 1.2624174956336038e-05, 0.031965214117637065, 8.972816814125947e-08]",0.99999821,1,"[7.112295939239328e-13, 0.9999982051097349, 4.758197444184634e-09, 9.496392905981225e-09, 1.296725579564213e-11, 1.7087612597845226e-10, 4.630254502439073e-09, 1.7690151703492076e-06, 6.8031921975508785e-09, 2.5031396831979883e-12]"
