error_x0_a,error_x0_b,error_x0_c,error_polytope,net_prob_x0,net_class_x0,net_approx_prob_x0,net_approx_class_x0,net_prob_x_opt,net_class_x_opt,net_logits_x_opt,net_approx_prob_x_opt,net_approx_class_x_opt,net_approx_logits_x_opt
0.00006875,0.00006875,0.00006875,14.28135128,0.99999522,1,0.99999446,1,0.93471470,1,"[8.234859191437856e-14, 0.9347147032141788, 2.6899087144930973e-10, 5.8349757656953295e-06, 0.0010030938513224423, 1.5023630716752782e-07, 2.5516586938101874e-07, 6.610582080875626e-07, 0.06420770384056627, 6.759738870882669e-05]",0.99999478,1,"[3.9319288696755804e-17, 0.99999477508334, 1.9417957710376383e-16, 1.3094780220744612e-11, 5.223617391338978e-06, 5.840496677677008e-15, 6.956247576039119e-13, 1.5243474474569825e-11, 1.458034378280878e-11, 1.2556484109640714e-09]"
0.00013468,0.00013468,0.00013468,15.12919044,0.99999268,1,0.99999978,1,0.99717690,1,"[2.5480740724712074e-08, 0.9971768989111794, 4.840680695709053e-08, 0.001164412699669296, 1.6453720170956527e-05, 0.0005349481121308849, 9.86016004946861e-06, 4.5724129149249934e-05, 0.0007493970357152093, 0.0003022313443876278]",0.99999995,1,"[6.454469208765225e-14, 0.9999999539420236, 8.297759698493191e-13, 8.789154999729997e-09, 9.676198399820426e-09, 1.1950155773583973e-12, 1.6795274476668954e-13, 2.561265468872328e-08, 4.820159342542759e-12, 1.972891150193909e-09]"
0.00001002,0.00001002,0.00001002,14.99880714,0.99999948,1,0.99999989,1,0.99978724,1,"[6.119129286816326e-10, 0.9997872436281776, 9.793122116040116e-08, 4.066686484581618e-09, 1.721758891042628e-05, 1.073452758297986e-10, 6.334918507808732e-08, 3.840909992704618e-06, 2.8496043765429917e-06, 0.0001886822021920369]",0.99999987,1,"[4.095861980290282e-15, 0.9999998730737779, 7.28566004650463e-12, 3.246029669135381e-14, 1.0503941071825923e-10, 3.9115000325479266e-17, 5.002978476812829e-13, 1.268125024892157e-07, 6.670758589855776e-15, 8.509105806253866e-13]"
0.00033764,0.00033764,0.00033764,14.69918252,0.99997636,1,0.99998692,1,0.99865022,1,"[1.0792892598135573e-09, 0.998650223294977, 8.370869364999787e-06, 1.3925766411797977e-07, 6.901180944874283e-06, 1.0533391134303191e-05, 3.1393385737302745e-05, 1.7780375798471317e-05, 0.0012742062705658574, 4.508945237545641e-07]",0.99999793,1,"[6.731889888625534e-13, 0.9999979290182395, 2.4621138401021118e-09, 5.829878062360295e-14, 1.046405425505611e-10, 5.722982746775873e-12, 2.6569802947812933e-09, 2.0657499964001266e-06, 1.5001385060646522e-12, 7.486611751853763e-14]"
0.00008660,0.00008660,0.00008660,0.00008660,0.99999542,1,0.99999996,1,0.99999542,1,"[4.366765243587749e-11, 0.9999954220239121, 2.9365248732228982e-08, 1.844656885293082e-07, 1.4745847952021186e-06, 2.637668789066989e-10, 1.3196702974787663e-08, 1.9802162899574435e-06, 1.1532182852985098e-08, 8.843077452473689e-07]",0.99999996,1,"[1.8448245171537365e-14, 0.999999963853456, 7.28702288621189e-11, 1.0996366761783503e-10, 2.651403141530719e-08, 2.9072836091355263e-13, 3.326900715646422e-11, 8.59420643495805e-09, 1.1482585398882305e-12, 8.2074577019917e-10]"
0.00025223,0.00025223,0.00025223,0.00025223,0.99998105,1,0.99998062,1,0.99998105,1,"[4.3014558277130246e-11, 0.9999810461136902, 5.94560591301203e-07, 3.86289415412908e-08, 5.001293625180082e-08, 3.5050328429121625e-07, 1.2816227036806696e-06, 1.5197824349560636e-05, 1.4360046235279127e-06, 4.685865217696638e-09]",0.99998062,1,"[1.3015092498938753e-12, 0.9999806219451257, 2.5445427146253613e-08, 1.332112531472026e-10, 9.383983145089408e-11, 2.4763949628977523e-08, 1.287943080270096e-07, 1.9196813063223428e-05, 2.009178663967144e-09, 5.948159976231925e-13]"
0.00009304,0.00009304,0.00009304,0.00009304,0.99999371,1,0.99999918,1,0.99999371,1,"[4.064209578604179e-12, 0.9999937081049338, 8.370396126840102e-08, 1.3748232736056195e-07, 1.4813395514172379e-08, 1.4870209377614971e-08, 1.7231821972179415e-09, 5.7519697403599205e-06, 1.5810002837391689e-07, 1.2922815763183886e-07]",0.99999918,1,"[9.43554541926163e-14, 0.9999991788900723, 3.7616275049514036e-10, 6.999580329766348e-10, 1.4410544261164007e-09, 3.253857803852227e-10, 9.874354453249609e-11, 8.172610908057458e-07, 2.9400780383405676e-10, 6.134300302093903e-10]"
0.00002500,0.00002500,0.00002500,14.36251365,0.99999863,1,0.99999997,1,0.34373040,8,"[0.0006621390378324844, 0.05623309850125727, 0.0071463377170218395, 0.19185273582340479, 0.00019635035648860228, 0.3306122488040554, 0.027792682767677036, 0.032215180746119135, 0.34373040124061865, 0.00955882500552499]",0.99989785,1,"[6.915216590035701e-13, 0.9998978530429637, 1.1115271138145935e-05, 2.6369728331803814e-05, 2.1358598611315305e-13, 7.077632009186079e-07, 1.5975992203522995e-09, 6.393165528596637e-05, 2.0930622445017292e-08, 9.952437532714766e-12]"
0.00009710,0.00009710,0.00009710,0.00009710,0.99999504,1,0.99999983,1,0.99999504,1,"[5.622180362462263e-15, 0.9999950429400712, 5.176446687356989e-09, 3.68977110709416e-06, 1.1012400414930322e-07, 7.176618457786709e-10, 2.2115595307331642e-08, 9.766733384070333e-09, 1.1118676306735113e-06, 7.52074414747471e-09]",0.99999983,1,"[1.5761176351504095e-17, 0.9999998318610205, 3.951565389777066e-10, 4.105550132016135e-09, 1.6223158425418693e-07, 3.621887870776978e-13, 2.3415032716682625e-10, 1.2509468318242417e-11, 1.124982588261148e-09, 3.468408195247885e-11]"
0.00000913,0.00000913,0.00000913,0.00000913,0.99999955,1,0.99999998,1,0.99999955,1,"[6.713003748027192e-13, 0.9999995503684228, 3.785842920604407e-10, 1.1734837980776154e-08, 2.8910308031751836e-07, 2.1668400674647265e-11, 8.29614119923703e-10, 6.815343758504862e-08, 2.6075621177112e-08, 5.333406215843693e-08]",0.99999998,1,"[1.1803102513251633e-14, 0.9999999830562029, 1.0758285515555009e-12, 3.4632438581949775e-11, 4.200970659541488e-09, 4.179965155702686e-15, 9.219712671171975e-13, 1.2664855620098613e-08, 1.7233612547811346e-12, 3.960116395025627e-11]"
0.01584807,0.01584807,0.01584807,0.01584807,0.99801565,1,0.99608671,1,0.99801565,1,"[8.486718840804754e-07, 0.9980156547922725, 7.955607424713616e-10, 2.196102538462078e-07, 0.00013194950360367517, 2.302632950514359e-11, 2.456225243286212e-10, 0.001837525462054904, 4.507390729999269e-06, 9.293504991352392e-06]",0.99608671,1,"[8.01150964890552e-07, 0.9960867130268851, 5.626034511019029e-11, 2.625300865662459e-08, 1.197523000590798e-05, 1.439632868388489e-12, 1.3212002725526086e-10, 0.0039002805575240715, 1.7501240527763418e-07, 2.8579385968165178e-08]"
0.00107339,0.00107339,0.00107339,14.93214071,0.99993311,1,0.99999210,1,0.99344570,1,"[4.55553092348069e-11, 0.9934457022491011, 2.1265670446078712e-07, 0.00015527442824081225, 0.0008224992450301684, 0.00045823905649429827, 1.8116742198885944e-06, 9.142089003294749e-05, 0.0010755999881856245, 0.0039492397664353425]",0.99994372,1,"[1.4918815875806795e-17, 0.9999437186420833, 2.053507716854935e-10, 2.27708553917641e-11, 5.537468767153275e-05, 3.045181069724184e-11, 3.4319945546150216e-12, 7.705746308189445e-08, 8.31413260448723e-10, 8.285193634827737e-07]"
